Player,Span,Matches,Inns,Balls,Runs,Wickets,Economy,Bowling SR,No of 4Wicket Haul,No of 5Wicket haul
A Symonds (AUS),1998-2009,198,158,5935,4955,133,5,44.6,2,1
P Utseya (ZIM),2004-2015,164,160,8571,6239,133,4.36,64.4,2,1
Abdul Qadir (PAK),1983-1993,104,100,5100,3454,132,4.06,38.6,4,2
B Kumar (INDIA),2012-2019,114,113,5451,4568,132,5.02,41.2,4,1
M Dillon (WI),1997-2005,108,107,5480,4218,130,4.61,42.1,3,3
Mohammad Nabi (AFG),2009-2019,124,120,5919,4231,130,4.28,45.5,3,0
RJ Shastri (INDIA),1981-1992,150,136,6613,4650,129,4.21,51.2,2,1
JE Taylor (WI),2003-2017,90,88,4341,3780,128,5.22,33.9,3,1
DK Morrison (NZ),1987-1996,96,95,4586,3470,126,4.53,36.3,1,2
Rubel Hossain (BDESH),2009-2019,101,99,4540,4300,126,5.68,36,7,1
Mohammad Rafique (Asia/BDESH),1995-2007,125,124,6414,4739,125,4.43,51.3,3,1
KAJ Roach (WI),2008-2019,92,90,4459,3763,124,5.06,35.9,3,3
Azhar Mahmood (PAK),1996-2007,143,139,6242,4813,123,4.62,50.7,2,3
Mohammad Sami (PAK),2001-2015,87,85,4284,3567,121,4.99,35.4,3,1
AG Cremer (ZIM),2009-2018,96,95,4680,3597,119,4.61,39.3,4,3
IR Bishop (WI),1988-1997,84,83,4332,3127,118,4.33,36.7,7,2
IVA Richards (WI),1975-1991,187,131,5644,4228,118,4.49,47.8,1,2
K Rabada (SA),2015-2019,75,73,3842,3199,117,4.99,32.8,6,1
R Rampaul (WI),2003-2015,92,88,4033,3434,117,5.1,34.4,8,2
Dawlat Zadran (AFG),2011-2019,82,80,3769,3423,115,5.44,32.7,3,0
PAJ DeFreitas (ENG),1987-1997,103,103,5712,3775,115,3.96,49.6,1,0
AD Mathews (SL),2008-2019,214,155,5083,3907,115,4.61,44.2,1,1
I Sharma (INDIA),2007-2016,80,78,3733,3563,115,5.72,32.4,6,0
Wahab Riaz (PAK),2008-2019,89,88,4209,4011,115,5.71,36.6,4,1
WJ Cronje (SA),1992-2000,188,153,5357,3966,114,4.44,46.9,1,1
MC Snedden (NZ),1980-1990,93,90,4525,3237,114,4.29,39.6,1,0
GR Larsen (NZ),1990-1999,121,119,6368,4000,113,3.76,56.3,1,0
KJ O'Brien (IRE),2006-2019,142,113,4224,3672,113,5.21,37.3,5,0
PD Collingwood (ENG),2001-2011,197,151,5186,4294,111,4.96,46.7,3,1
Mudassar Nazar (PAK),1977-1989,122,104,4855,3432,111,4.24,43.7,1,1
Yuvraj Singh (Asia/INDIA),2000-2017,304,161,5048,4294,111,5.1,45.4,2,1
Junaid Khan (PAK),2011-2019,76,76,3601,3216,110,5.35,32.7,4,0
Naved-ul-Hasan (PAK),2003-2010,74,72,3466,3221,110,5.57,31.5,6,1
DR Tuffey (NZ),2000-2010,94,92,4333,3534,110,4.89,39.3,2,0
TT Bresnan (ENG),2006-2015,85,84,4221,3813,109,5.42,38.7,3,1
GP Wickramasinghe (SL),1990-2002,134,132,5720,4321,109,4.53,52.4,1,0
SP O'Donnell (AUS),1985-1991,87,87,4350,3102,108,4.27,40.2,5,1
DNT Zoysa (SL),1997-2007,95,93,4259,3213,108,4.52,39.4,2,1
RAS Lakmal (SL),2009-2019,85,83,3824,3478,107,5.45,35.7,3,0
Mustafizur Rahman (BDESH),2015-2019,56,55,2813,2458,107,5.24,26.2,3,5
PA de Silva (SL),1984-2003,308,156,5148,4177,106,4.86,48.5,2,0
TM Dilshan (SL),1999-2016,330,204,5880,4778,106,4.87,55.4,3,0
A Nel (SA),2001-2008,79,76,3801,2935,106,4.63,35.8,3,1
PR Reiffel (AUS),1992-1999,92,92,4732,3096,106,3.92,44.6,5,0
UT Yadav (INDIA),2010-2018,75,73,3558,3565,106,6.01,33.5,4,0
GW Flower (ZIM),1992-2010,221,156,5462,4225,104,4.64,52.5,2,0
WB Rankin (ENG/IRE),2007-2019,73,71,3600,2893,104,4.82,34.6,4,0
GP Swann (ENG),2000-2013,79,76,3809,2888,104,4.54,36.6,3,1
JJ Bumrah (INDIA),2016-2019,58,58,3009,2254,103,4.49,29.2,5,1
DK Lillee (AUS),1972-1983,63,63,3593,2145,103,3.58,34.8,5,1
C Pringle (NZ),1990-1995,64,64,3314,2459,103,4.45,32.1,2,1
ST Finn (ENG),2011-2017,69,67,3550,2996,102,5.06,34.8,4,2
E Chigumbura (Afr/ZIM),2004-2018,213,132,4339,4274,101,5.91,42.9,1,0
WKM Benjamin (WI),1986-1995,85,85,4442,3079,100,4.15,44.4,0,1
SC Ganguly (Asia/INDIA),1992-2007,311,171,4561,3849,100,5.06,45.6,1,2
RA Harper (WI),1983-1996,105,99,5175,3431,100,3.97,51.7,3,0
CK Langeveldt (SA),2001-2010,72,71,3489,2962,100,5.09,34.8,1,2
RW Price (ZIM),2002-2012,102,99,5374,3575,100,3.99,53.7,1,0
NJ Astle (NZ),1995-2007,223,159,4850,3809,99,4.71,48.9,1,0
Kuldeep Yadav (INDIA),2017-2019,56,54,2952,2455,99,4.98,29.8,4,1
CJ McKay (AUS),2009-2014,59,59,2965,2364,97,4.78,30.5,4,2
